sample	genome	completeness	contamination	d	p	c	o	f	g	s	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings	completeness_model_used	translation_table_used	coding_density	contig_n50	average_gene_length	genome_size	gc_content	total_coding_sequences	total_contigs	max_contig_length	additional_notes
WM18	WM18_S13_018	96	1.13	d__Bacteria	p__Elusimicrobiota	c__Elusimicrobia	o__UBA1565	f__UBA9628	g__GWA2-66-18	s__	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__UBA1565;f__UBA9628;g__GWA2-66-18;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_016191335.1, s__GWA2-66-18 sp016191335, 95.0, 83.97, 0.172	86	11	0.97822	NA	Gradient Boost (General Model)	11	0.95	26725	335.5755766621438	3895369	0.66	3685	209	82912	None
WM18	WM18_S13_019	100	28.8	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__2-12-FULL-35-15	f__2-12-FULL-35-15	g__2-12-FULL-35-15	s__	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__2-12-FULL-35-15;f__2-12-FULL-35-15;g__2-12-FULL-35-15;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	NA	63.14	11	0.96435	Genome has more than 35.8% of markers with multiple hits	Gradient Boost (General Model)	11	0.922	530342	380.3747986396993	6905714	0.4	5587	28	2510750	None
WM18	WM18_S13_020	92.92	0.35	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Tabrizicola	s__	NA	NA	NA	NA	NA	GCA_947504705.1	95	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola;s__Tabrizicola sp947504705	86.74	0.302	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_963205235.1, s__Tabrizicola sp963205235, 95.0, 86.75, 0.315	82.38	11	0.99291	NA	Gradient Boost (General Model)	11	0.902	8002	267.02241594022416	2846574	0.64	3212	434	30854	None
WM18	WM18_S13_021	98.43	0.25	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas_O	s__	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas_O;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	NA	82.98	11	0.97855	NA	Gradient Boost (General Model)	11	0.922	11611	286.1093117408907	3211627	0.63	3458	358	53771	None
WM18	WM18_S13_022	92.28	5.54	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__	NA	NA	NA	NA	NA	GCA_029946075.1	95	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp029946075	92.16	0.504	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_902826195.1, s__Bradyrhizobium sp902826195, 95.0, 85.4, 0.169; GCF_030413175.1, s__Bradyrhizobium sp030413175, 95.0, 84.73, 0.223; GCF_018596315.1, s__Bradyrhizobium sp018596315, 95.0, 84.73, 0.221; GCF_023101085.1, s__Bradyrhizobium sp023101085, 95.0, 84.72, 0.214; GCF_018130385.1, s__Bradyrhizobium sp018130385, 95.0, 84.5, 0.211; GCA_023387735.1, s__Bradyrhizobium sp023387735, 95.0, 84.44, 0.207; GCF_003062295.1, s__Bradyrhizobium algeriense, 95.0, 84.43, 0.216; GCF_023073415.1, s__Bradyrhizobium sp023073415, 95.0, 84.4, 0.211; GCF_023100945.1, s__Bradyrhizobium sp023100945, 95.0, 84.39, 0.203; GCF_001440395.1, s__Bradyrhizobium jicamae, 95.0, 84.35, 0.199; GCF_001693515.2, s__Bradyrhizobium paxllaeri, 95.0, 84.25, 0.207; GCF_900103365.1, s__Bradyrhizobium sp900103365, 95.0, 84.25, 0.173; GCF_009930815.1, s__Bradyrhizobium sp009930815, 95.0, 84.24, 0.207; GCF_900099825.1, s__Bradyrhizobium ottawaense_A, 95.0, 84.24, 0.18; GCF_001440475.1, s__Bradyrhizobium lablabi, 95.0, 84.23, 0.206; GCA_023422775.1, s__Bradyrhizobium sp023422775, 95.0, 84.23, 0.19; GCF_005937885.2, s__Bradyrhizobium sp005937885, 95.0, 83.94, 0.172; GCF_029051645.1, s__Bradyrhizobium sp029051645, 95.0, 83.9, 0.189; GCF_001693485.1, s__Bradyrhizobium sp001693485, 95.0, 83.8, 0.175; GCF_018130065.1, s__Bradyrhizobium sp018130065, 95.0, 83.7, 0.169; GCF_001693385.1, s__Bradyrhizobium icense, 95.0, 83.69, 0.186; GCF_018398875.1, s__Bradyrhizobium sp018398875, 95.0, 83.67, 0.163; GCF_029714305.1, s__Bradyrhizobium sp029714305, 95.0, 83.66, 0.174; GCF_001440405.1, s__Bradyrhizobium valentinum, 95.0, 83.66, 0.172; GCF_018131075.1, s__Bradyrhizobium sp018131075, 95.0, 83.66, 0.163; GCA_017305715.1, s__Bradyrhizobium sp017305715, 95.0, 83.58, 0.163; GCF_018130145.1, s__Bradyrhizobium sp018130145, 95.0, 83.58, 0.162; GCF_013114825.1, s__Bradyrhizobium australiense, 95.0, 83.54, 0.163; GCF_000472965.1, s__Bradyrhizobium murdochi, 95.0, 83.53, 0.177; GCF_013114835.1, s__Bradyrhizobium archetypum, 95.0, 83.53, 0.171; GCF_018130165.1, s__Bradyrhizobium sp018130165, 95.0, 83.52, 0.16; GCF_018398895.1, s__Bradyrhizobium sp018398895, 95.0, 83.46, 0.163; GCF_022844465.1, s__Bradyrhizobium sp022844465, 95.0, 83.44, 0.178; GCF_001440415.1, s__Bradyrhizobium retamae, 95.0, 83.43, 0.167; GCF_018131065.1, s__Bradyrhizobium sp018131065, 95.0, 83.43, 0.166; GCF_020329435.1, s__Bradyrhizobium hereditatis, 95.0, 83.38, 0.158	81.69	11	0.99592	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	Neural Network (Specific Model)	11	0.869	40054	296.8014358255997	5845709	0.63	5711	269	160085	None
WM18	WM18_S13_023	99.99	11.6	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__	NA	NA	NA	NA	NA	GCA_902826195.1	95	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp902826195	93.7	0.589	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_030413175.1, s__Bradyrhizobium sp030413175, 95.0, 90.27, 0.568; GCA_029946075.1, s__Bradyrhizobium sp029946075, 95.0, 87.0, 0.208; GCA_013822885.1, s__Bradyrhizobium sp013822885, 95.0, 86.63, 0.207; GCF_018130385.1, s__Bradyrhizobium sp018130385, 95.0, 86.46, 0.351; GCF_018596315.1, s__Bradyrhizobium sp018596315, 95.0, 86.42, 0.334; GCF_023101085.1, s__Bradyrhizobium sp023101085, 95.0, 86.27, 0.334; GCF_003062295.1, s__Bradyrhizobium algeriense, 95.0, 86.1, 0.328; GCF_023073415.1, s__Bradyrhizobium sp023073415, 95.0, 86.03, 0.326; GCF_023100945.1, s__Bradyrhizobium sp023100945, 95.0, 85.71, 0.311; GCF_001440395.1, s__Bradyrhizobium jicamae, 95.0, 85.41, 0.274; GCF_001440475.1, s__Bradyrhizobium lablabi, 95.0, 85.38, 0.286; GCF_029051645.1, s__Bradyrhizobium sp029051645, 95.0, 85.17, 0.259; GCF_001693515.2, s__Bradyrhizobium paxllaeri, 95.0, 85.14, 0.276; GCA_023422775.1, s__Bradyrhizobium sp023422775, 95.0, 85.12, 0.271; GCF_009930815.1, s__Bradyrhizobium sp009930815, 95.0, 85.06, 0.273; GCF_001440405.1, s__Bradyrhizobium valentinum, 95.0, 85.03, 0.247; GCF_001693485.1, s__Bradyrhizobium sp001693485, 95.0, 84.81, 0.245; GCF_029714305.1, s__Bradyrhizobium sp029714305, 95.0, 84.77, 0.255; GCF_001693385.1, s__Bradyrhizobium icense, 95.0, 84.73, 0.246; GCA_023387735.1, s__Bradyrhizobium sp023387735, 95.0, 84.62, 0.287; GCF_013114825.1, s__Bradyrhizobium australiense, 95.0, 84.61, 0.24; GCF_001440415.1, s__Bradyrhizobium retamae, 95.0, 84.57, 0.228; GCF_000472965.1, s__Bradyrhizobium murdochi, 95.0, 84.53, 0.233; GCF_018398875.1, s__Bradyrhizobium sp018398875, 95.0, 84.46, 0.23; GCF_013114835.1, s__Bradyrhizobium archetypum, 95.0, 84.43, 0.236; GCF_018398895.1, s__Bradyrhizobium sp018398895, 95.0, 84.43, 0.23; GCF_020329435.1, s__Bradyrhizobium hereditatis, 95.0, 83.93, 0.212; GCF_005937885.2, s__Bradyrhizobium sp005937885, 95.0, 83.57, 0.164; GCF_018131075.1, s__Bradyrhizobium sp018131075, 95.0, 83.39, 0.154; GCF_900099825.1, s__Bradyrhizobium ottawaense_A, 95.0, 83.37, 0.158; GCF_900103365.1, s__Bradyrhizobium sp900103365, 95.0, 83.3, 0.156; GCF_018131065.1, s__Bradyrhizobium sp018131065, 95.0, 83.3, 0.152; GCF_018130145.1, s__Bradyrhizobium sp018130145, 95.0, 83.26, 0.154; GCF_018130165.1, s__Bradyrhizobium sp018130165, 95.0, 83.22, 0.153; GCA_017305715.1, s__Bradyrhizobium sp017305715, 95.0, 83.2, 0.153; GCF_018130065.1, s__Bradyrhizobium sp018130065, 95.0, 83.1, 0.15; GCF_022844465.1, s__Bradyrhizobium sp022844465, 95.0, 82.93, 0.207	76.31	11	0.99588	Genome not assigned to closest species as it falls outside its pre-defined ANI radius;Genome has more than 15.8% of markers with multiple hits	Neural Network (Specific Model)	11	0.867	66297	301.29490392648285	7474646	0.63	7182	179	230753	None
WM18	WM18_S13_024	91.88	9.37	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Afipia	s__Afipia broomeae	GCF_000314675.2	95	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Afipia;s__Afipia broomeae	97.65	0.812	GCF_000314675.2	95	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Afipia;s__Afipia broomeae	97.65	0.812	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Afipia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000497575.1, s__Afipia sp000497575, 95.0, 90.33, 0.544; GCA_017474385.1, s__Afipia sp017474385, 95.0, 89.16, 0.441; GCF_000308295.2, s__Afipia birgiae, 95.0, 85.67, 0.265; GCF_014203115.1, s__Afipia massiliensis, 95.0, 85.64, 0.271; GCF_001006325.2, s__Afipia massiliensis_A, 95.0, 85.45, 0.299; GCA_030652315.1, s__Afipia sp030652315, 95.0, 85.01, 0.255; GCF_000336555.1, s__Afipia clevelandensis, 95.0, 84.75, 0.245; GCA_024707075.1, s__Afipia sp024707075, 95.0, 84.61, 0.188; GCA_024508675.1, s__Afipia sp024508675, 95.0, 84.41, 0.232; GCF_021502575.1, s__Afipia sp021502575, 95.0, 83.83, 0.181; GCA_017308595.1, s__Afipia sp017308595, 95.0, 83.7, 0.188; GCA_017308575.1, s__Afipia sp001897905, 95.0, 83.18, 0.152	75.59	11	NA	Genome has more than 14.2% of markers with multiple hits	Neural Network (Specific Model)	11	0.881	20914	287.7542173401334	4989144	0.62	5098	356	129146	None
WM18	WM18_S13_025	87.97	1.7	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Cyclobacteriaceae	g__Chryseotalea	s__	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Chryseotalea;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	NA	79.11	11	0.95038	NA	Gradient Boost (General Model)	11	0.89	9396	327.5913654618474	5487758	0.41	4980	735	45124	None
WM18	WM18_S13_026	81.6	4.07	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Porticoccaceae	g__JAGPUQ01	s__JAGPUQ01 sp016191205	GCA_016191205.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__JAGPUQ01;s__JAGPUQ01 sp016191205	96.83	0.644	GCA_016191205.1	95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__JAGPUQ01;s__JAGPUQ01 sp016191205	96.83	0.644	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__JAGPUQ01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_016708925.1, s__JAGPUQ01 sp016708925, 95.0, 91.26, 0.558	76.9	11	NA	NA	Gradient Boost (General Model)	11	0.895	6693	273.541921554516	2544085	0.63	2779	412	30727	None
WM18	WM18_S13_027	80.86	2.37	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Devosiaceae	g__Devosia_A	s__	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia_A;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	NA	75.21	11	0.98509	NA	Gradient Boost (General Model)	11	0.897	7764	266.4372768995411	3487694	0.65	3922	510	45761	None
WM18	WM18_S13_028	84.94	1.8	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__JJ008	s__JJ008 sp016786805	GCA_016786805.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__JJ008 sp016786805	98.78	0.783	GCA_016786805.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__JJ008 sp016786805	98.78	0.783	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_017303455.1, s__JJ008 sp017303455, 95.0, 91.27, 0.613; GCA_902826165.1, s__JJ008 sp902826165, 95.0, 90.68, 0.618; GCA_002400415.1, s__JJ008 sp002400415, 95.0, 86.63, 0.316	75.69	11	NA	NA	Gradient Boost (General Model)	11	0.92	9109	304.0431317393343	4222191	0.43	4266	565	47308	None
WM18	WM18_S13_029	75.94	0.74	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__	NA	NA	NA	NA	NA	GCA_030693575.1	95	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas sp030693575	92.54	0.516	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_030285985.1, s__Brevundimonas sp030285985, 95.0, 91.45, 0.567; GCF_030160755.1, s__Brevundimonas denitrificans, 95.0, 90.97, 0.432; GCA_006515835.1, s__Brevundimonas sp006515835, 95.0, 90.57, 0.347; GCF_937982535.1, s__Brevundimonas sp002343425, 95.0, 89.95, 0.431; GCF_004296955.1, s__Brevundimonas sp004296955, 95.0, 89.58, 0.358; GCF_002483305.1, s__Brevundimonas sp002483305, 95.0, 89.52, 0.332; GCA_018826515.1, s__Brevundimonas sp018826515, 95.0, 89.51, 0.333; GCF_027487935.1, s__Brevundimonas sp027487935, 95.0, 89.4, 0.247; GCF_030682035.1, s__Brevundimonas sp030682035, 95.0, 89.04, 0.27; GCF_030704825.1, s__Brevundimonas sp030704825, 95.0, 88.95, 0.26; GCA_019746095.1, s__Brevundimonas sp019746095, 95.0, 88.72, 0.285; GCF_001427825.1, s__Brevundimonas sp001427825, 95.0, 88.57, 0.221; GCA_947501315.1, s__Brevundimonas sp947501315, 95.0, 88.43, 0.21; GCF_029946145.1, s__Brevundimonas sp029946145, 95.0, 88.2, 0.214; GCA_030856285.1, s__Brevundimonas sp030856285, 95.0, 87.84, 0.242	75.79	11	0.99697	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	Neural Network (Specific Model)	11	0.9	5719	257.8205397826849	2446454	0.68	2853	468	28143	None
WM18	WM18_S13_030	88.04	5.51	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Afipia	s__	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Afipia;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_024707075.1, s__Afipia sp024707075, 95.0, 85.87, 0.275; GCA_017474385.1, s__Afipia sp017474385, 95.0, 85.25, 0.215; GCF_000314675.2, s__Afipia broomeae, 95.0, 85.05, 0.222; GCF_021502575.1, s__Afipia sp021502575, 95.0, 84.64, 0.227; GCF_000497575.1, s__Afipia sp000497575, 95.0, 84.34, 0.196; GCA_030652315.1, s__Afipia sp030652315, 95.0, 84.19, 0.192; GCF_014203115.1, s__Afipia massiliensis, 95.0, 84.09, 0.201; GCF_001006325.2, s__Afipia massiliensis_A, 95.0, 84.02, 0.209; GCF_000308295.2, s__Afipia birgiae, 95.0, 83.69, 0.191; GCA_017308575.1, s__Afipia sp001897905, 95.0, 82.94, 0.152	74.82	11	0.98522	NA	Neural Network (Specific Model)	11	0.867	28591	285.01292246520876	4951952	0.61	5030	254	113846	None
WM18	WM18_S13_031	85.9	1.18	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Sediminibacterium	s__	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	NA	74.52	11	0.96136	NA	Gradient Boost (General Model)	11	0.894	16593	328.0470179867466	3484082	0.45	3169	294	55080	None
WM18	WM18_S13_032	100	0.22	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__UBA1547	g__UBA1547	s__	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA1547;g__UBA1547;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	NA	73.55	11	0.96032	NA	Gradient Boost (General Model)	11	0.919	44671	294.37742303306726	841281	0.45	877	34	78434	None
WM18	WM18_S13_033	100	0.04	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9973	f__UBA2100	g__UBA10103	s__	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA2100;g__UBA10103;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	NA	70.55	11	0.9471	NA	Gradient Boost (General Model)	11	0.918	835446	278.495652173913	835446	0.53	920	1	835446	None
WM18	WM18_S13_034	75.74	1.17	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__Iamiaceae	g__JAGQSI01	s__	NA	NA	NA	NA	NA	GCA_025463265.1	95	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__JAGQSI01;s__JAGQSI01 sp025463265	87.49	0.155	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__JAGQSI01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	NA	70.17	11	0.9794	NA	Gradient Boost (General Model)	11	0.924	5088	271.87563376081124	2955585	0.7	3353	620	18508	None
WM18	WM18_S13_035	88.82	2.87	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Limisphaerales	f__UBA9464	g__CAIWAH01	s__	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Limisphaerales;f__UBA9464;g__CAIWAH01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	NA	71.14	11	0.96446	NA	Gradient Boost (General Model)	11	0.899	17225	335.8931409113021	6901646	0.64	6167	589	64443	None
WM18	WM18_S13_036	100	0.99	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9973	f__UBA2100	g__UBA10103	s__	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA2100;g__UBA10103;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	NA	68.86	11	0.98498	NA	Gradient Boost (General Model)	11	0.901	239246	295.06372132540355	1153584	0.54	1177	5	548909	None
WM18	WM18_S13_037	68.97	3.83	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Devosiaceae	g__Devosia_A	s__	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia_A;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000970465.2, s__Devosia_A insulae, 95.0, 89.55, 0.362; GCF_001425235.1, s__Devosia_A sp001425235, 95.0, 89.5, 0.385; GCF_001899085.1, s__Devosia_A sp001899085, 95.0, 89.42, 0.3; GCA_016793415.1, s__Devosia_A sp016793415, 95.0, 88.74, 0.221; GCF_001402915.1, s__Devosia_A sp001402915, 95.0, 88.72, 0.269	63.85	11	0.99319	NA	Neural Network (Specific Model)	11	0.888	5630	254.48913515862668	3947866	0.65	4602	744	41296	None
WM18	WM18_S13_038	74.11	0.27	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Microbacteriaceae	g__Rhodoglobus	s__	NA	NA	NA	NA	NA	GCA_020160915.1	95	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Rhodoglobus;s__Rhodoglobus sp020160915	92.87	0.595	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Rhodoglobus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	NA	63.16	11	0.99599	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	Gradient Boost (General Model)	11	0.927	6825	261.3820224719101	2629559	0.67	3115	425	43307	None
WM18	WM18_S13_039	65.07	0.43	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__B-17B0	f__B-17BO	g__PALSA-968	s__	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__B-17B0;f__B-17BO;g__PALSA-968;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	NA	63.87	11	0.91665	NA	Neural Network (Specific Model)	11	0.933	672199	345.6308333333333	2664310	0.42	2400	22	1007092	None
WM18	WM18_S13_040	73.51	4.49	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Afipia	s__	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Afipia;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	NA	60.28	11	0.99105	NA	Neural Network (Specific Model)	11	0.892	8555	261.5178214998574	3078699	0.59	3507	425	56191	None
