user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
WM01_S1_MAGScoT_cleanbin_000011	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	89.69	11	0.96212	N/A
WM01_S1_MAGScoT_cleanbin_000012	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	87.43	11	0.97315	N/A
WM01_S1_MAGScoT_cleanbin_000013	d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__UBA4096;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__UBA4096;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	87.67	11	0.95206	N/A
WM01_S1_MAGScoT_cleanbin_000014	d__Bacteria;p__Bacteroidota;c__Kapaibacteriia;o__Kapaibacteriales;f__UBA2268;g__JAPLFM01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Kapaibacteriia;o__Kapaibacteriales;f__UBA2268;g__JAPLFM01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	86.61	11	0.86374	N/A
WM01_S1_MAGScoT_cleanbin_000015	d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Leptospirales;f__Leptospiraceae;g__Leptospira_A;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Leptospirales;f__Leptospiraceae;g__Leptospira_A;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000332455.1, s__Leptospira_A vanthielii, 95.0, 90.72, 0.636; GCF_016918735.1, s__Leptospira_A abararensis, 95.0, 90.59, 0.648; GCF_000332515.2, s__Leptospira_A wolbachii, 95.0, 88.62, 0.548; GCF_000332495.1, s__Leptospira_A terpstrae, 95.0, 87.72, 0.503; GCF_016919165.1, s__Leptospira_A chreensis, 95.0, 87.19, 0.43; GCF_004769575.1, s__Leptospira_A perdikensis, 95.0, 85.98, 0.358; GCF_004770265.1, s__Leptospira_A congkakensis, 95.0, 85.62, 0.317; GCF_004769235.1, s__Leptospira_A kanakyensis, 95.0, 85.26, 0.303; GCF_004770145.1, s__Leptospira_A bourretii, 95.0, 85.06, 0.29; GCF_004770765.1, s__Leptospira_A noumeaensis, 95.0, 85.01, 0.275; GCF_004770905.1, s__Leptospira_A bandrabouensis, 95.0, 84.99, 0.295; GCF_004770475.1, s__Leptospira_A mtsangambouensis, 95.0, 84.89, 0.287; GCF_004770045.1, s__Leptospira_A montravelensis, 95.0, 84.78, 0.265; GCF_002811945.1, s__Leptospira_A harrisiae, 95.0, 84.65, 0.278; GCF_004368965.1, s__Leptospira_A meyeri, 95.0, 84.65, 0.277; GCF_002812125.1, s__Leptospira_A brenneri, 95.0, 84.53, 0.276; GCF_026151655.1, s__Leptospira_A sp026151655, 95.0, 84.52, 0.25	84.35	11	0.99656	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WM01_S1_MAGScoT_cleanbin_000016	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	N/A	N/A	N/A	N/A	N/A	GCA_018401645.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp018401645	88.98	0.454	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_903911165.1, s__Mycobacterium sp903911165, 95.0, 86.17, 0.189	85.36	11	0.99464	N/A
WM01_S1_MAGScoT_cleanbin_000017	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__JAGQSI01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__JAGQSI01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	81.85	11	0.97916	N/A
WM01_S1_MAGScoT_cleanbin_000018	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	85.98	11	0.97664	N/A
WM01_S1_MAGScoT_cleanbin_000019	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__PNKZ01;g__PNKZ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_013822735.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__PNKZ01;g__PNKZ01;s__PNKZ01 sp013822735	86.02	0.384	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__PNKZ01;g__PNKZ01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	85.18	11	0.99048	N/A
WM01_S1_MAGScoT_cleanbin_000020	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__	N/A	N/A	N/A	N/A	N/A	GCA_945903635.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__Reyranella sp945903635	91.3	0.512	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_947474005.1, s__Reyranella sp947474005, 95.0, 92.97, 0.658; GCA_030679805.1, s__Reyranella sp030679805, 95.0, 89.41, 0.408; GCA_029946105.1, s__Reyranella sp029946105, 95.0, 88.69, 0.449; GCA_030681635.1, s__Reyranella sp030681635, 95.0, 87.69, 0.263; GCA_945860205.1, s__Reyranella massiliensis_B, 95.0, 87.15, 0.341; GCF_004296935.1, s__Reyranella sp004296935, 95.0, 87.11, 0.332; GCA_010032545.1, s__Reyranella sp010032545, 95.0, 86.56, 0.294; GCA_945862125.1, s__Reyranella massiliensis_A, 95.0, 86.47, 0.309; GCA_016191685.1, s__Reyranella sp016191685, 95.0, 85.92, 0.252; GCA_001767945.1, s__Reyranella sp001767945, 95.0, 85.77, 0.267; GCA_030684475.1, s__Reyranella sp030684475, 95.0, 85.47, 0.212; GCA_019745575.1, s__Reyranella sp019745575, 95.0, 84.93, 0.196; GCA_937915145.1, s__Reyranella sp937915145, 95.0, 84.37, 0.162; GCA_937919085.1, s__Reyranella sp937919085, 95.0, 83.92, 0.16	84.05	11	0.99179	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
WM01_S1_MAGScoT_cleanbin_000021	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__UBA1565;f__UBA9628;g__GWA2-66-18;s__	N/A	N/A	N/A	N/A	N/A	GCA_016212855.1	95.0	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__UBA1565;f__UBA9628;g__GWA2-66-18;s__GWA2-66-18 sp016212855	85.49	0.167	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__UBA1565;f__UBA9628;g__GWA2-66-18;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_016182905.1, s__GWA2-66-18 sp016182905, 95.0, 85.69, 0.169; GCA_016191335.1, s__GWA2-66-18 sp016191335, 95.0, 85.59, 0.165	82.66	11	0.98121	N/A
WM01_S1_MAGScoT_cleanbin_000022	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia_A;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia_A;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_001425235.1, s__Devosia_A sp001425235, 95.0, 89.97, 0.413; GCF_000970465.2, s__Devosia_A insulae, 95.0, 89.87, 0.384; GCF_001899085.1, s__Devosia_A sp001899085, 95.0, 88.98, 0.345; GCA_016793415.1, s__Devosia_A sp016793415, 95.0, 88.9, 0.251; GCF_001402915.1, s__Devosia_A sp001402915, 95.0, 88.15, 0.299; GCF_028613635.1, s__Devosia_A sp028613635, 95.0, 86.4, 0.155	79.92	11	0.99327	N/A
WM01_S1_MAGScoT_cleanbin_000023	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__JACTMZ01;g__JACTMZ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__JACTMZ01;g__JACTMZ01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	76.03	11	0.94966	N/A
WM01_S1_MAGScoT_cleanbin_000024	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Nanopelagicales;f__Nanopelagicaceae;g__Nanopelagicus;s__Nanopelagicus sp016462445	GCA_016462445.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Nanopelagicales;f__Nanopelagicaceae;g__Nanopelagicus;s__Nanopelagicus sp016462445	99.03	0.918	GCA_016462445.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Nanopelagicales;f__Nanopelagicaceae;g__Nanopelagicus;s__Nanopelagicus sp016462445	99.03	0.918	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Nanopelagicales;f__Nanopelagicaceae;g__Nanopelagicus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_947486485.1, s__Nanopelagicus sp947486485, 95.0, 94.98, 0.854; GCA_000378865.1, s__Nanopelagicus sp000378865, 95.0, 90.71, 0.531	78.47	11	N/A	N/A
WM01_S1_MAGScoT_cleanbin_000025	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Schlesneria;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Schlesneria;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	77.76	11	0.97716	N/A
WM01_S1_MAGScoT_cleanbin_000026	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola;s__	N/A	N/A	N/A	N/A	N/A	GCA_947504705.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola;s__Tabrizicola sp947504705	86.39	0.311	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_963205235.1, s__Tabrizicola sp963205235, 95.0, 86.17, 0.339	77.24	11	0.99301	N/A
WM01_S1_MAGScoT_cleanbin_000027	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA1547;g__UBA1547;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA1547;g__UBA1547;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	74.4	11	0.96031	N/A
WM01_S1_MAGScoT_cleanbin_000028	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Palsa-965;f__Palsa-965;g__GCA-2737665;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Palsa-965;f__Palsa-965;g__GCA-2737665;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	74.26	11	0.95687	N/A
WM01_S1_MAGScoT_cleanbin_000029	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__UBA1268;g__QWPN01;s__QWPN01 sp003670825	GCA_003670825.1	95.75	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__UBA1268;g__QWPN01;s__QWPN01 sp003670825	97.42	0.756	GCA_003670825.1	95.75	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__UBA1268;g__QWPN01;s__QWPN01 sp003670825	97.42	0.756	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__UBA1268;g__QWPN01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_903958265.1, s__QWPN01 sp903958265, 95.0, 95.67, 0.637	74.72	11	N/A	N/A
WM01_S1_MAGScoT_cleanbin_000030	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia_A;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia_A;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	69.59	11	0.98401	N/A
WM01_S1_MAGScoT_cleanbin_000031	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	70.63	11	0.98488	N/A
WM01_S1_MAGScoT_cleanbin_000032	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA2100;g__UBA10103;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA2100;g__UBA10103;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	70.55	11	0.9471	N/A
WM01_S1_MAGScoT_cleanbin_000033	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	69.22	11	0.95509	N/A
WM01_S1_MAGScoT_cleanbin_000034	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA9973;g__UBA8515;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA9973;g__UBA8515;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	65.92	11	0.91583	N/A
WM01_S1_MAGScoT_cleanbin_000035	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA9320;g__JABWCE01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA9320;g__JABWCE01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	64.39	11	0.95256	N/A
WM01_S1_MAGScoT_cleanbin_000036	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Ga0077523;g__Ga0077523;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Ga0077523;g__Ga0077523;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	55.47	11	0.94279	N/A
WM01_S1_MAGScoT_cleanbin_000037	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__SZAS-79;s__	N/A	N/A	N/A	N/A	N/A	GCA_945862265.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__SZAS-79;s__SZAS-79 sp945862265	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__SZAS-79;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_018241645.1, s__SZAS-79 sp018241645, 95.0, 88.36, 0.158	54.62	11	0.96161	N/A
WM01_S1_MAGScoT_cleanbin_000038	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__SXXK01;s__SXXK01 sp003670925	GCA_003670925.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__SXXK01;s__SXXK01 sp003670925	97.48	0.774	GCA_003670925.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__SXXK01;s__SXXK01 sp003670925	97.48	0.774	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__SXXK01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	53.66	11	N/A	N/A
WM01_S1_MAGScoT_cleanbin_000039	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Synechococcus_D;s__Synechococcus_D sp009914645	GCA_009914645.1	95.0	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Synechococcus_D;s__Synechococcus_D sp009914645	98.18	0.76	GCA_009914645.1	95.0	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Synechococcus_D;s__Synechococcus_D sp009914645	98.18	0.76	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Synechococcus_D;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_024346075.1, s__Synechococcus_D sp024346075, 95.0, 94.02, 0.761	53.33	11	N/A	N/A
