Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
WM01_S1_MAGScoT_cleanbin_000022	82.6	9.6	Neural Network (Specific Model)	11	0.892	8040	273.69755314881667	4579519	0.65	4986	678	74309	None
WM01_S1_MAGScoT_cleanbin_000023	92.17	0.92	Gradient Boost (General Model)	11	0.912	8816	287.4793066855324	2665946	0.62	2827	374	32718	None
WM01_S1_MAGScoT_cleanbin_000024	76.6	4.55	Neural Network (Specific Model)	11	0.947	17090	283.57907949790797	1071007	0.42	1195	107	57503	None
WM01_S1_MAGScoT_cleanbin_000025	95.69	5.59	Neural Network (Specific Model)	11	0.875	14887	342.4638438974621	9192042	0.57	7841	827	68031	None
WM01_S1_MAGScoT_cleanbin_000026	83.5	1.41	Neural Network (Specific Model)	11	0.904	10332	279.47586633663366	2990211	0.64	3232	366	50269	None
WM01_S1_MAGScoT_cleanbin_000027	100.0	0.07	Gradient Boost (General Model)	11	0.921	644019	303.32163742690057	843084	0.45	855	3	644019	None
WM01_S1_MAGScoT_cleanbin_000028	82.07	2.62	Neural Network (Specific Model)	11	0.917	8372	327.77858683926644	3970969	0.4	3708	558	42209	None
WM01_S1_MAGScoT_cleanbin_000029	85.39	2.3	Gradient Boost (General Model)	11	0.887	7108	309.5600532623169	3923501	0.67	3755	632	38399	None
WM01_S1_MAGScoT_cleanbin_000030	76.47	1.53	Gradient Boost (General Model)	11	0.902	6291	256.10230179028133	2992223	0.65	3519	536	22324	None
WM01_S1_MAGScoT_cleanbin_000031	85.28	2.6	Gradient Boost (General Model)	11	0.896	13108	316.7788130443589	5227242	0.45	4937	532	69315	None
WM01_S1_MAGScoT_cleanbin_000032	100.0	0.09	Gradient Boost (General Model)	11	0.917	222216	276.5663430420712	836605	0.53	927	9	223809	None
WM01_S1_MAGScoT_cleanbin_000033	79.1	2.96	Neural Network (Specific Model)	11	0.926	6323	307.2280019445795	4087390	0.67	4114	713	27299	None
WM01_S1_MAGScoT_cleanbin_000034	94.69	0.76	Gradient Boost (General Model)	11	0.909	19017	284.197628458498	711261	0.44	759	57	46215	None
WM01_S1_MAGScoT_cleanbin_000035	71.08	0.55	Gradient Boost (General Model)	11	0.918	5278	306.6644984594317	2923229	0.37	2921	594	19469	None
WM01_S1_MAGScoT_cleanbin_000036	63.25	1.63	Gradient Boost (General Model)	11	0.911	5042	266.87319727891156	3222866	0.65	3675	681	30455	None
WM01_S1_MAGScoT_cleanbin_000037	62.46	5.61	Gradient Boost (General Model)	11	0.948	4139	258.1116222017786	2658494	0.68	3261	645	13299	None
WM01_S1_MAGScoT_cleanbin_000038	58.22	0.12	Gradient Boost (General Model)	11	0.866	4051	277.77048244361976	3357700	0.53	3503	833	21014	None
WM01_S1_MAGScoT_cleanbin_000039	50.12	0.56	Neural Network (Specific Model)	11	0.932	4163	237.6781272860278	1040867	0.49	1367	251	10801	None
WM01_S1_MAGScoT_cleanbin_000040	53.24	0.01	Neural Network (Specific Model)	11	0.889	4762	255.9226100151745	2272571	0.63	2636	492	17520	None
WM01_S1_MAGScoT_cleanbin_000041	57.46	1.63	Gradient Boost (General Model)	11	0.92	5240	279.1506622516556	1644055	0.63	1812	338	20075	None
WM01_S1_MAGScoT_cleanbin_000042	51.37	2.22	Neural Network (Specific Model)	11	0.949	5304	261.1890380313199	736622	0.4	894	142	28180	None
WM01_S1_MAGScoT_cleanbin_000043	61.67	2.96	Neural Network (Specific Model)	11	0.894	5562	260.25359171399936	2609596	0.59	2993	500	25228	None
WM02_S2_MAGScoT_cleanbin_000001	98.77	1.86	Gradient Boost (General Model)	11	0.911	21762	363.8675078864353	3414445	0.33	2853	235	64970	None
WM02_S2_MAGScoT_cleanbin_000002	99.95	3.36	Neural Network (Specific Model)	11	0.902	187362	368.5882897477436	5289808	0.36	4321	53	648924	None
WM02_S2_MAGScoT_cleanbin_000003	100.0	1.27	Gradient Boost (General Model)	11	0.907	69305	372.8234415029889	5768626	0.43	4684	134	206369	None
WM02_S2_MAGScoT_cleanbin_000004	100.0	0.67	Neural Network (Specific Model)	11	0.91	102022	321.7634974980248	4019502	0.64	3797	76	231375	None
WM02_S2_MAGScoT_cleanbin_000005	99.99	0.23	Gradient Boost (General Model)	11	0.851	15868	352.5332364693062	3413671	0.43	2753	311	52391	None
WM02_S2_MAGScoT_cleanbin_000006	100.0	1.83	Neural Network (Specific Model)	11	0.914	29658	327.3907795473596	6398071	0.66	5965	331	113979	None
WM02_S2_MAGScoT_cleanbin_000007	99.81	4.14	Gradient Boost (General Model)	11	0.891	654414	357.94729650595355	6164669	0.41	5123	62	1408394	None
WM02_S2_MAGScoT_cleanbin_000008	99.33	3.26	Gradient Boost (General Model)	11	0.896	40237	333.09188859524295	5481885	0.45	4919	234	131204	None
WM02_S2_MAGScoT_cleanbin_000009	95.76	4.12	Gradient Boost (General Model)	11	0.902	65004	308.882818116463	4279235	0.71	4173	111	177289	None
WM02_S2_MAGScoT_cleanbin_000010	100.0	3.61	Neural Network (Specific Model)	11	0.883	73035	293.0459157787925	3917936	0.58	3942	87	243970	None
WM02_S2_MAGScoT_cleanbin_000011	97.85	0.53	Gradient Boost (General Model)	11	0.917	299684	377.6156191369606	5260107	0.39	4264	40	639672	None
WM02_S2_MAGScoT_cleanbin_000012	98.99	0.31	Neural Network (Specific Model)	11	0.942	180271	309.0791564792176	3212904	0.69	3272	34	277016	None
WM02_S2_MAGScoT_cleanbin_000013	99.35	2.37	Neural Network (Specific Model)	11	0.921	78085	350.8898842036268	5220203	0.65	4577	116	284332	None
WM02_S2_MAGScoT_cleanbin_000014	100.0	3.1	Gradient Boost (General Model)	11	0.935	44341	345.196451914099	5916814	0.65	5355	224	205296	None
WM02_S2_MAGScoT_cleanbin_000015	91.3	4.63	Gradient Boost (General Model)	11	0.931	11832	297.8705382436261	3380638	0.66	3530	383	47107	None
WM02_S2_MAGScoT_cleanbin_000016	100.0	3.59	Gradient Boost (General Model)	11	0.903	14375	292.94157988315976	3826899	0.6	3937	360	74981	None
WM02_S2_MAGScoT_cleanbin_000017	93.78	2.9	Gradient Boost (General Model)	11	0.935	7546	307.35807666740527	4442010	0.44	4513	692	38360	None
WM02_S2_MAGScoT_cleanbin_000018	88.16	5.89	Neural Network (Specific Model)	11	0.884	12387	280.9025414364641	4307066	0.62	4525	454	53320	None
WM02_S2_MAGScoT_cleanbin_000019	93.27	4.03	Neural Network (Specific Model)	11	0.891	12387	281.96243425995493	5040908	0.66	5324	536	90257	None
WM02_S2_MAGScoT_cleanbin_000020	99.94	1.13	Neural Network (Specific Model)	11	0.882	156893	380.6177847113885	7459795	0.61	5769	91	674769	None
WM02_S2_MAGScoT_cleanbin_000021	89.99	3.63	Neural Network (Specific Model)	11	0.918	9168	332.36449864498644	4000268	0.4	3690	532	35950	None
WM02_S2_MAGScoT_cleanbin_000022	94.1	5.61	Neural Network (Specific Model)	11	0.903	17039	293.81466628473214	3401511	0.68	3491	274	138116	None
WM02_S2_MAGScoT_cleanbin_000023	91.94	3.16	Gradient Boost (General Model)	11	0.885	12855	332.92855501952675	4902103	0.66	4353	540	83470	None
WM02_S2_MAGScoT_cleanbin_000024	89.53	1.92	Gradient Boost (General Model)	11	0.938	45812	350.6628516928946	4698059	0.68	4194	158	135334	None
WM02_S2_MAGScoT_cleanbin_000025	89.28	4.82	Gradient Boost (General Model)	11	0.921	14310	303.9890643985419	2439802	0.63	2469	239	49133	None
WM02_S2_MAGScoT_cleanbin_000026	95.83	0.07	Neural Network (Specific Model)	11	0.925	177993	348.5250922509225	3059430	0.38	2710	52	294539	None
WM02_S2_MAGScoT_cleanbin_000027	94.37	3.17	Gradient Boost (General Model)	11	0.912	12106	287.6775644871026	6296127	0.65	6668	679	57136	None
WM02_S2_MAGScoT_cleanbin_000028	88.24	2.1	Gradient Boost (General Model)	11	0.922	9433	289.7742193755004	2349029	0.62	2498	307	43213	None
WM02_S2_MAGScoT_cleanbin_000029	88.07	0.72	Gradient Boost (General Model)	11	0.92	6400	324.52203255260025	2662085	0.35	2519	459	22941	None
WM02_S2_MAGScoT_cleanbin_000030	91.61	0.67	Gradient Boost (General Model)	11	0.89	16800	359.6574888041134	7303396	0.62	6029	585	85524	None
WM02_S2_MAGScoT_cleanbin_000031	86.21	6.38	Gradient Boost (General Model)	11	0.924	7499	294.80835143615735	3957220	0.69	4143	610	37415	None
WM02_S2_MAGScoT_cleanbin_000032	80.77	3.02	Neural Network (Specific Model)	11	0.897	7709	275.97756326637096	3531162	0.64	3833	546	27057	None
WM02_S2_MAGScoT_cleanbin_000033	88.11	4.44	Gradient Boost (General Model)	11	0.877	7496	262.43999089045775	3935132	0.64	4391	609	22518	None
WM02_S2_MAGScoT_cleanbin_000034	86.93	0.89	Neural Network (Specific Model)	11	0.915	11489	285.03055473153364	3143836	0.62	3371	359	52807	None
WM02_S2_MAGScoT_cleanbin_000035	88.38	1.74	Gradient Boost (General Model)	11	0.89	13067	353.18111298482296	3524432	0.52	2965	369	52286	None
WM02_S2_MAGScoT_cleanbin_000036	77.45	1.5	Neural Network (Specific Model)	11	0.948	8310	282.6508644729504	1600230	0.53	1793	237	24666	None
WM02_S2_MAGScoT_cleanbin_000037	86.73	2.77	Gradient Boost (General Model)	11	0.894	9144	309.81692261367056	3448896	0.45	3321	464	36867	None
WM02_S2_MAGScoT_cleanbin_000038	91.09	3.73	Gradient Boost (General Model)	11	0.919	12485	290.59807566149135	4328002	0.63	4573	457	61584	None
WM02_S2_MAGScoT_cleanbin_000039	99.87	1.28	Neural Network (Specific Model)	11	0.867	13059	330.31035733720296	6282282	0.54	5513	646	68305	None
WM02_S2_MAGScoT_cleanbin_000040	100.0	0.07	Gradient Boost (General Model)	11	0.922	840173	303.9800235017626	840173	0.45	851	1	840173	None
WM02_S2_MAGScoT_cleanbin_000041	93.99	4.25	Gradient Boost (General Model)	11	0.868	16242	342.5326395458846	8743358	0.62	7399	701	83318	None
WM02_S2_MAGScoT_cleanbin_000042	89.39	3.32	Gradient Boost (General Model)	11	0.948	8065	305.8660739891024	3365625	0.67	3487	492	32492	None
WM02_S2_MAGScoT_cleanbin_000043	58.74	0.89	Gradient Boost (General Model)	11	0.909	3839	269.8727272727273	830153	0.39	935	210	13036	None
WM02_S2_MAGScoT_cleanbin_000044	79.49	0.61	Gradient Boost (General Model)	11	0.859	5638	248.05689149560118	2945193	0.55	3410	564	22901	None
WM02_S2_MAGScoT_cleanbin_000045	57.71	0.71	Neural Network (Specific Model)	11	0.906	4600	255.09851226377162	2096074	0.64	2487	466	20322	None
WM02_S2_MAGScoT_cleanbin_000046	87.28	4.86	Neural Network (Specific Model)	11	0.869	7028	267.08422862054147	6427961	0.63	6981	1049	48852	None
WM02_S2_MAGScoT_cleanbin_000047	76.52	2.24	Neural Network (Specific Model)	11	0.893	9693	272.72543352601156	3164997	0.59	3460	400	39654	None
WM02_S2_MAGScoT_cleanbin_000048	66.8	2.25	Gradient Boost (General Model)	11	0.932	6455	272.26894664842683	3192535	0.39	3655	560	28493	None
WM02_S2_MAGScoT_cleanbin_000049	68.54	1.96	Neural Network (Specific Model)	11	0.925	5917	273.9892440991933	2963886	0.65	3347	540	39002	None
WM02_S2_MAGScoT_cleanbin_000050	74.69	2.92	Neural Network (Specific Model)	11	0.924	5544	280.1173553719008	2192371	0.56	2420	434	19409	None
WM02_S2_MAGScoT_cleanbin_000051	64.42	2.63	Neural Network (Specific Model)	11	0.943	4609	262.2555036691127	1246921	0.45	1499	279	15495	None
WM02_S2_MAGScoT_cleanbin_000052	54.4	0.4	Gradient Boost (General Model)	11	0.875	4905	266.3849372384937	3482923	0.59	3824	752	16438	None
WM02_S2_MAGScoT_cleanbin_000053	58.75	0.75	Gradient Boost (General Model)	11	0.917	4594	273.167188478397	2850765	0.69	3194	628	16519	None
WM02_S2_MAGScoT_cleanbin_000054	66.82	14.04	Gradient Boost (General Model)	11	0.95	3999	253.05292479108635	858519	0.41	1077	221	10531	None
WM02_S2_MAGScoT_cleanbin_000055	56.5	5.14	Gradient Boost (General Model)	11	0.915	4374	301.03534383403763	2566293	0.43	2603	581	17858	None
WM02_S2_MAGScoT_cleanbin_000056	55.65	0.64	Gradient Boost (General Model)	11	0.874	4699	293.1716626002091	5765531	0.57	5738	1263	23537	None
WM02_S2_MAGScoT_cleanbin_000057	46.83	0.63	Neural Network (Specific Model)	11	0.914	4121	293.57916959887405	1367347	0.32	1421	330	17550	None
WM03_S3_MAGScoT_cleanbin_000001	100.0	0.11	Gradient Boost (General Model)	11	0.87	95284	341.20177219863393	6369756	0.44	5417	150	290042	None
WM03_S3_MAGScoT_cleanbin_000002	99.72	0.1	Neural Network (Specific Model)	11	0.928	58407	350.7724770642202	3084017	0.38	2725	84	207820	None
WM03_S3_MAGScoT_cleanbin_000003	98.69	0.86	Gradient Boost (General Model)	11	0.884	45046	310.9475157452764	4516351	0.62	4287	160	153945	None
WM03_S3_MAGScoT_cleanbin_000004	100.0	5.15	Gradient Boost (General Model)	11	0.931	365848	355.6155629139073	3455014	0.36	3020	21	749248	None
WM03_S3_MAGScoT_cleanbin_000005	99.79	0.91	Neural Network (Specific Model)	11	0.915	45614	354.6881246325691	3951238	0.42	3402	130	136324	None
WM03_S3_MAGScoT_cleanbin_000006	95.12	0.84	Neural Network (Specific Model)	11	0.894	14088	337.7904991243433	5170702	0.4	4568	502	48579	None
WM03_S3_MAGScoT_cleanbin_000007	100.0	1.16	Gradient Boost (General Model)	11	0.898	15506	319.25280373831777	2279229	0.33	2140	211	54343	None
WM03_S3_MAGScoT_cleanbin_000008	100.0	11.16	Gradient Boost (General Model)	11	0.902	43618	314.2796837708831	6990602	0.66	6704	240	126482	None
WM03_S3_MAGScoT_cleanbin_000009	96.13	3.98	Gradient Boost (General Model)	11	0.941	111795	308.5068330362448	3301420	0.69	3366	49	231557	None
WM03_S3_MAGScoT_cleanbin_000010	99.17	0.75	Gradient Boost (General Model)	11	0.929	10625	349.90162454873644	3752450	0.36	3324	452	44340	None
WM03_S3_MAGScoT_cleanbin_000011	99.52	8.07	Gradient Boost (General Model)	11	0.893	202354	340.1165874901029	5764626	0.45	5052	57	480382	None
WM03_S3_MAGScoT_cleanbin_000012	96.21	1.28	Gradient Boost (General Model)	11	0.892	21640	337.6479921645446	5788225	0.4	5105	418	95955	None
WM03_S3_MAGScoT_cleanbin_000013	92.42	1.79	Gradient Boost (General Model)	11	0.911	109786	373.2785578747628	3237225	0.33	2635	57	282219	None
WM03_S3_MAGScoT_cleanbin_000014	95.34	2.44	Gradient Boost (General Model)	11	0.933	26485	363.3084602368866	6890911	0.6	5910	389	154237	None
WM03_S3_MAGScoT_cleanbin_000015	100.0	0.92	Neural Network (Specific Model)	11	0.866	21073	336.8374098187577	6613059	0.54	5683	476	93282	None
WM03_S3_MAGScoT_cleanbin_000016	99.99	12.98	Neural Network (Specific Model)	11	0.867	87941	301.8250437390652	8348449	0.63	8002	195	312700	None
WM03_S3_MAGScoT_cleanbin_000017	90.78	1.07	Gradient Boost (General Model)	11	0.904	74533	345.90999490056095	4499550	0.43	3922	92	207783	None
WM03_S3_MAGScoT_cleanbin_000018	92.84	4.36	Neural Network (Specific Model)	11	0.89	14899	320.4896560477218	8494824	0.48	7879	743	84713	None
WM03_S3_MAGScoT_cleanbin_000019	89.28	0.62	Neural Network (Specific Model)	11	0.921	12376	331.33366434955315	2169868	0.32	2014	229	35632	None
WM03_S3_MAGScoT_cleanbin_000020	87.15	2.27	Neural Network (Specific Model)	11	0.872	9543	323.4741732713856	4067194	0.36	3659	536	38322	None
WM03_S3_MAGScoT_cleanbin_000021	81.92	0.76	Gradient Boost (General Model)	11	0.9	8444	274.82148040638606	3782164	0.71	4134	556	35111	None
WM03_S3_MAGScoT_cleanbin_000022	91.98	2.4	Gradient Boost (General Model)	11	0.93	11921	276.5506289308176	2830259	0.67	3180	312	62886	None
WM03_S3_MAGScoT_cleanbin_000023	88.78	1.11	Gradient Boost (General Model)	11	0.889	8502	323.11847710330136	4086680	0.67	3756	585	41147	None
WM03_S3_MAGScoT_cleanbin_000024	85.31	2.6	Neural Network (Specific Model)	11	0.909	9401	270.8500299940012	2973449	0.64	3334	410	64491	None
WM03_S3_MAGScoT_cleanbin_000025	97.5	2.18	Gradient Boost (General Model)	11	0.924	12220	324.84701912260965	1869830	0.45	1778	209	42321	None
WM03_S3_MAGScoT_cleanbin_000026	80.61	1.07	Neural Network (Specific Model)	11	0.865	22924	278.4249261914804	4568777	0.61	4742	292	89260	None
WM03_S3_MAGScoT_cleanbin_000027	84.51	3.91	Gradient Boost (General Model)	11	0.91	7291	280.5666881443299	2865481	0.62	3104	448	33638	None
WM03_S3_MAGScoT_cleanbin_000028	77.09	2.28	Gradient Boost (General Model)	11	0.932	7423	296.1783803068141	2665554	0.57	2803	408	33834	None
WM03_S3_MAGScoT_cleanbin_000029	90.23	4.49	Gradient Boost (General Model)	11	0.89	5616	296.3672008182748	2925058	0.6	2933	571	24484	None
WM03_S3_MAGScoT_cleanbin_000030	88.26	1.26	Gradient Boost (General Model)	11	0.918	9530	289.95190296946885	2260340	0.63	2391	289	53163	None
WM03_S3_MAGScoT_cleanbin_000031	94.75	17.13	Neural Network (Specific Model)	11	0.874	72358	298.2098945070935	5617436	0.62	5498	149	185888	None
WM03_S3_MAGScoT_cleanbin_000032	77.65	3.07	Neural Network (Specific Model)	11	0.917	7197	321.23161316537994	2582650	0.33	2461	415	24800	None
WM03_S3_MAGScoT_cleanbin_000033	79.07	0.27	Gradient Boost (General Model)	11	0.915	7850	364.495881383855	2900023	0.33	2428	441	38314	None
WM03_S3_MAGScoT_cleanbin_000034	83.36	6.33	Neural Network (Specific Model)	11	0.869	46781	297.8670645686381	5675380	0.63	5529	226	232035	None
WM03_S3_MAGScoT_cleanbin_000035	82.65	3.48	Gradient Boost (General Model)	11	0.931	11564	342.92095869454363	2164420	0.36	1961	247	48880	None
WM03_S3_MAGScoT_cleanbin_000036	70.96	0.5	Neural Network (Specific Model)	11	0.896	5502	271.24758515505846	3568784	0.64	3934	696	27272	None
WM03_S3_MAGScoT_cleanbin_000037	87.15	13.52	Gradient Boost (General Model)	11	0.933	5204	251.42208774583963	2127479	0.48	2644	412	38122	None
WM03_S3_MAGScoT_cleanbin_000038	80.83	0.67	Gradient Boost (General Model)	11	0.925	6283	274.28193612774453	1777554	0.62	2004	318	20967	None
WM03_S3_MAGScoT_cleanbin_000039	68.56	0.35	Gradient Boost (General Model)	11	0.922	5012	325.5758282781148	2266149	0.35	2143	482	15444	None
WM03_S3_MAGScoT_cleanbin_000040	73.16	1.41	Neural Network (Specific Model)	11	0.928	6644	279.714671163575	2675800	0.66	2965	455	27670	None
WM03_S3_MAGScoT_cleanbin_000041	71.66	0.94	Gradient Boost (General Model)	11	0.909	8293	285.9607504319921	3813970	0.65	4051	561	38917	None
WM03_S3_MAGScoT_cleanbin_000042	66.1	3.69	Gradient Boost (General Model)	11	0.914	6036	312.88102524866105	2680054	0.43	2614	491	38327	None
WM03_S3_MAGScoT_cleanbin_000043	58.5	1.42	Neural Network (Specific Model)	11	0.929	4309	271.91920330702743	2330357	0.39	2661	550	14557	None
WM03_S3_MAGScoT_cleanbin_000044	59.24	1.26	Neural Network (Specific Model)	11	0.942	5251	258.7138364779874	784213	0.42	954	154	23163	None
WM03_S3_MAGScoT_cleanbin_000045	55.09	0.01	Neural Network (Specific Model)	11	0.947	4572	254.63275434243175	649098	0.37	806	146	16897	None
WM03_S3_MAGScoT_cleanbin_000046	71.29	11.7	Gradient Boost (General Model)	11	0.939	4604	268.38967611336034	2535756	0.51	2964	564	23474	None
WM03_S3_MAGScoT_cleanbin_000047	67.71	1.46	Neural Network (Specific Model)	11	0.906	5372	265.58775029446406	2980516	0.64	3396	595	24098	None
WM03_S3_MAGScoT_cleanbin_000048	67.39	2.1	Gradient Boost (General Model)	11	0.889	4616	293.13935742971887	2458474	0.52	2490	540	21435	None
WM03_S3_MAGScoT_cleanbin_000049	59.75	0.49	Neural Network (Specific Model)	11	0.948	6523	249.20112994350282	696456	0.3	885	122	71210	None
WM03_S3_MAGScoT_cleanbin_000050	63.42	0.26	Gradient Boost (General Model)	11	0.896	6822	298.284	3241482	0.44	3250	543	52449	None
WM03_S3_MAGScoT_cleanbin_000051	63.79	3.78	Gradient Boost (General Model)	11	0.919	5310	290.3707104881585	1957161	0.52	2069	398	17230	None
WM03_S3_MAGScoT_cleanbin_000052	70.65	10.19	Neural Network (Specific Model)	11	0.921	4587	311.572189664358	1901260	0.33	1877	424	18462	None
WM04_S4_MAGScoT_cleanbin_000001	97.66	0.85	Gradient Boost (General Model)	11	0.908	138653	360.82189334013776	4664338	0.51	3919	75	388704	None
WM04_S4_MAGScoT_cleanbin_000002	100.0	0.58	Gradient Boost (General Model)	11	0.917	567582	378.93940795559666	5354597	0.39	4324	23	1143782	None
WM04_S4_MAGScoT_cleanbin_000003	99.77	1.38	Gradient Boost (General Model)	11	0.891	414762	358.5541336583384	5934334	0.41	4923	57	927859	None
WM04_S4_MAGScoT_cleanbin_000004	100.0	2.52	Gradient Boost (General Model)	11	0.916	77124	346.57337610264636	4239975	0.4	3741	110	207624	None
WM04_S4_MAGScoT_cleanbin_000005	100.0	0.61	Neural Network (Specific Model)	11	0.875	30463	308.521227145956	3408216	0.38	3227	186	105952	None
WM04_S4_MAGScoT_cleanbin_000006	96.38	2.98	Gradient Boost (General Model)	11	0.92	85570	317.7965277777778	4466251	0.63	4320	96	254412	None
WM04_S4_MAGScoT_cleanbin_000007	97.95	0.07	Gradient Boost (General Model)	11	0.91	91265	359.6523725834798	3370115	0.34	2845	58	610938	None
WM04_S4_MAGScoT_cleanbin_000008	97.55	5.34	Gradient Boost (General Model)	11	0.9	23939	301.5410863509749	4323333	0.71	4308	255	78263	None
WM04_S4_MAGScoT_cleanbin_000009	100.0	5.15	Neural Network (Specific Model)	11	0.894	283396	328.9137088896125	3384443	0.34	3071	79	616167	None
WM04_S4_MAGScoT_cleanbin_000010	100.0	9.7	Neural Network (Specific Model)	11	0.862	110268	299.5157970320728	8700391	0.63	8356	176	396279	None
WM04_S4_MAGScoT_cleanbin_000011	100.0	2.67	Neural Network (Specific Model)	11	0.91	111495	321.95467644747185	4044021	0.64	3817	68	241883	None
WM04_S4_MAGScoT_cleanbin_000012	100.0	1.79	Gradient Boost (General Model)	11	0.943	101270	349.5982083609821	3346923	0.37	3014	79	250615	None
WM04_S4_MAGScoT_cleanbin_000013	99.08	3.31	Gradient Boost (General Model)	11	0.894	123212	338.34995961227787	5614720	0.45	4952	84	279537	None
WM04_S4_MAGScoT_cleanbin_000014	99.99	2.68	Gradient Boost (General Model)	11	0.937	231128	314.404980032887	4273569	0.39	4257	40	707531	None
WM04_S4_MAGScoT_cleanbin_000015	97.05	4.19	Gradient Boost (General Model)	11	0.908	67485	309.7482138991124	4723281	0.6	4619	129	147400	None
WM04_S4_MAGScoT_cleanbin_000016	99.73	1.66	Gradient Boost (General Model)	11	0.935	45817	342.5064340239913	5032347	0.44	4585	183	147685	None
WM04_S4_MAGScoT_cleanbin_000017	99.89	1.59	Neural Network (Specific Model)	11	0.917	64029	344.51006573541497	5474956	0.65	4868	143	342482	None
WM04_S4_MAGScoT_cleanbin_000018	99.38	3.2	Gradient Boost (General Model)	11	0.914	38313	306.75933232169956	6626093	0.66	6590	272	136537	None
WM04_S4_MAGScoT_cleanbin_000019	96.76	1.4	Gradient Boost (General Model)	11	0.903	28151	305.447416255518	3903343	0.6	3851	186	147945	None
WM04_S4_MAGScoT_cleanbin_000020	93.4	2.09	Neural Network (Specific Model)	11	0.904	19921	297.0781146271299	4448115	0.7	4519	311	82359	None
WM04_S4_MAGScoT_cleanbin_000021	100.0	1.53	Gradient Boost (General Model)	11	0.932	25980	340.84081004870546	4276456	0.39	3901	302	117708	None
WM04_S4_MAGScoT_cleanbin_000022	94.17	1.05	Neural Network (Specific Model)	11	0.895	16213	288.234662934453	4134538	0.64	4287	355	140894	None
